Origin_School,Destination_School,Distance
Brooklyn Col,Gustavus Adolphus,1242
Colorado Col,Calvin,1242
Gustavus Adolphus,Brooklyn Col,1242
Montclair St.,UW-Superior,1240
UW-Superior,Montclair St.,1240
Mt. St. Mary,Gustavus Adolphus,1237
Gallaudet,East Texas Baptist,1236
East Texas Baptist,Gallaudet,1236
St. Joseph CT,UW-Stout,1233
Trinity (Conn),UW-Stout,1233
UW-Stout,Trinity (Conn),1233
UW-Stout,St. Joseph CT,1233
Stevens,Gustavus Adolphus,1232
Gustavus Adolphus,Stevens,1232
McMurry,UW-Superior,1231
Gustavus Adolphus,SUNY Cobleskill,1231
UW-Superior,McMurry,1231
SUNY Cobleskill,Gustavus Adolphus,1231
Gustavus Adolphus,NYU,1230
NYU,Gustavus Adolphus,1230
McMurry,UW-Oshkosh,1229
UW-Oshkosh,McMurry,1229
Christopher Newport,East Texas Baptist,1228
East Texas Baptist,Christopher Newport,1228
Bethel,Vassar,1227
Gustavus Adolphus,Randolph-Macon,1227
Trine,Colorado Col,1227
Vassar,Bethel,1226
Randolph-Macon,Gustavus Adolphus,1223
McMurry,UW-Stevens Point,1222
UW-Stevens Point,McMurry,1222
Amherst,Wartburg,1221
Wartburg,Amherst,1221
McMurry,Ripon,1220
Bates,Illinois Wesleyan,1220
Illinois Wesleyan,Bates,1220
Ripon,McMurry,1220
Principia,Endicott,1219
Bethel,Merchant Marine,1219
Merchant Marine,Bethel,1219
UW-Whitewater,Bates,1219
Endicott,Principia,1219
UW-La Crosse,TX Lutheran,1218
McMurry,Ohio Wesleyan,1218
Ohio Wesleyan,McMurry,1218
UW-Whitewater,TX Lutheran,1218
TX Lutheran,UW-La Crosse,1218
TX Lutheran,UW-Whitewater,1218
Montclair St.,Gustavus Adolphus,1217
Gustavus Adolphus,Montclair St.,1217
Bates,UW-Whitewater,1216
Bowdoin,Illinois Wesleyan,1215
Illinois Wesleyan,Bowdoin,1215
UW-Whitewater,Bowdoin,1215
Smith,Wartburg,1213
Wartburg,Smith,1213
Bowdoin,UW-Whitewater,1212
Wartburg,W New England,1212
W New England,Wartburg,1212
Bates,Wisconsin Lutheran,1208
Wisconsin Lutheran,Bates,1208
Bethel,Brooklyn Col,1207
Bethel,Mt. St. Mary,1207
Brooklyn Col,Bethel,1207
Mt. St. Mary,Bethel,1207
Bowdoin,Wisconsin Lutheran,1204
Wisconsin Lutheran,Bowdoin,1204
Christopher Newport,UW-Stout,1203
UW-Stout,Christopher Newport,1203
Principia,Tufts,1201
Tufts,Principia,1201
Bethel,NYU,1200
Bethel,TX Lutheran,1200
Ripon,Colorado Col,1200
TX Lutheran,Bethel,1200
McMurry,Trine,1199
MA Dartmouth,UW-Stevens Point,1199
NYU,Bethel,1199
UW-Stevens Point,MA Dartmouth,1199
Trine,McMurry,1199
St. Joseph CT,Wartburg,1198
Bethel,Stevens,1198
