simulation_number,team_name,wins,losses,npi_rank,got_auto_bid,got_at_large,made_tournament,made_top_4,made_top_8,made_top_16
7,Hendrix,8,17,44.71077357657682,False,False,False,False,False,False
7,Hilbert,2,21,37.02153154959923,False,False,False,False,False,False
7,Hiram,11,15,46.267085818380885,False,False,False,False,False,False
7,Hobart & Smith,3,22,42.87884192327123,False,False,False,False,False,False
7,Hollins,8,12,47.845185644562065,False,False,False,False,False,False
7,Hood,7,17,46.43277279008999,False,False,False,False,False,False
7,Hope,23,4,58.64303216367118,True,False,True,False,False,False
7,Houghton,17,9,51.2329504746175,False,False,False,False,False,False
7,Howard Payne,4,20,42.852046004380355,False,False,False,False,False,False
7,Hunter,21,5,53.38671312870848,True,False,True,False,False,False
7,Huntingdon,11,15,46.09183823144396,False,False,False,False,False,False
7,Husson,13,12,50.03770646058684,False,False,False,False,False,False
7,IL Tech,10,14,45.42332529109165,False,False,False,False,False,False
7,Illinois Wesleyan,25,2,64.25095656899539,False,True,True,False,False,True
7,Illinois Col,10,15,47.167156619091344,False,False,False,False,False,False
7,Immaculata,21,4,55.912939436731854,False,False,False,False,False,False
7,Ithaca,20,7,56.53185503474605,True,False,True,False,False,False
7,J&W RI,23,3,56.92355436855212,False,False,False,False,False,False
7,John Carroll,19,7,56.95495557389759,False,False,False,False,False,False
7,John Jay,12,15,46.15224854049721,False,False,False,False,False,False
7,Johns Hopkins,21,4,61.465816827745144,False,True,True,False,False,True
7,Juniata,10,15,48.31115738466057,False,False,False,False,False,False
7,Kalamazoo,9,16,45.976008768889244,False,False,False,False,False,False
7,Kean,15,13,50.89298860549325,True,False,True,False,False,False
7,Keene St.,13,14,50.00051910745163,False,False,False,False,False,False
7,Kenyon,1,22,36.9050895799457,False,False,False,False,False,False
7,Keuka,5,20,41.29142364993639,False,False,False,False,False,False
